obs,ys
0,-2.9617498526759145
1,-3.39734854792714
2,-0.8204594412331097
3,-1.9267589541881862
4,-3.284688162087528
5,-2.226029760962098
6,-1.9081924626849018
7,-0.56129443072368
8,-2.5643042065318484
9,-1.89744773278088
10,3.523745912103751
11,-1.9567965079173746
12,-1.9508323943034318
13,-3.6076870497974087
14,-4.524649435694132
15,-4.270402780915509
16,-4.05941608940919
17,-3.0640424282257546
18,-2.814205285269238
19,-3.7555753836085057
20,-1.8893750280853152
21,-4.357446112548894
22,-4.294091150856062
23,-3.486842143193112
24,-9.25615687273345
25,-3.057867912904558
26,-2.6451068278700745
27,-2.334342096210174
28,-4.185294563812863
29,-1.6450978140962398
30,-2.5019772173973673
31,-2.364109356624517
32,-11.51804572827888
33,-7.834665735735298
34,-3.7689042334133585
35,-1.7687280174766398
36,-5.7408403609476855
37,-2.1649324914812613
38,-3.5293878194246373
39,1.0855102431134882
40,-1.3028501619887836
41,-3.7493295912784044
42,-1.8657333651175936
43,-2.0437256408691233
44,-0.16510080713347364
45,-4.1755449957987345
46,-2.9122593419902056
47,-2.69749260433919
48,-3.9527052561489615
49,-1.549108121694196
50,-2.3934010753589
51,-0.599650388519493
52,-3.1775406087395535
53,-0.3701965354006851
54,-2.8124001274907204
55,-0.8573205495509464
56,-2.3088985146977956
57,-2.0289845925166854
58,-3.4549619512225016
59,-28.332408135153667
60,-9.975002910081981
61,-2.0716260671387055
62,-2.547041718379306
63,-1.0425269409977378
64,-2.4498594034104615
65,-3.014656987914709
66,-13.787287603650427
67,-9.55225320021804
68,-13.763352689151981
69,62.63849772144498
70,-2.7237684026532145
71,-4.01856460697915
72,-1.7826057619827433
73,-2.645004924007494
74,-4.1981201406099755
75,25.698741621583995
76,-2.363002204827509
77,-3.0073611051538576
78,-1.4636939742698514
79,-1.7855228382036814
80,-2.3463074538621136
81,-2.1095821362311105
82,-2.0179726799852453
83,-23.288996507203333
84,-6.1986576750751965
85,-2.645081040039848
86,-0.7686859280966456
87,-1.8370374277217396
88,-2.730425678151826
89,1.2274881524700492
90,-2.7647297097762547
91,-2.8348053556402615
92,-2.543687234414986
93,-0.9958483383236882
94,-1.8849344093144549
95,-4.154167031785944
96,-3.1189215064708957
97,-1.1988448615210916
98,-0.3285014308873717
99,0.41271835337143115
100,1.4826770474244637
101,-2.647151730049321
102,-2.035895832649797
103,1.4223459157967562
104,-2.2738339701808705
105,-2.6568874371311275
106,-5.2704918901441955
107,-5.052200857172056
108,-4.281080443790675
109,-4.5730441174458685
110,-3.58301434390242
111,-0.48994841026478175
112,-6.324166086507466
113,19.09698051104484
114,0.2675688268427683
115,-2.3892468018640503
116,-3.093212724315507
117,-3.1686269972865917
118,-3.4405229049075277
119,-0.42180164863780556
120,-1.2430992612274487
121,-5.6541665335335285
122,-2.055301440923503
123,-10.419594753201755
124,-1.2932995604334456
125,19.412373570590397
126,2.8491729938734927
127,-2.7643611163197708
128,-2.751031302945886
129,-4.193932112379297
130,-1.082942459767332
131,-1.742782697872149
132,1.2139424239285943
133,-1.2462278410343122
134,-15.164872871168376
135,-7.238545152320224
136,0.5198824933697197
137,-3.220785815080234
138,-1.5572734220089368
139,-6.963030964477559
140,-3.2504442985544246
141,-2.4737739412542368
142,-1.7921496908469057
143,-3.0672491652504155
144,-2.512056188661257
145,-1.4642161455319285
146,-4.80272760965587
147,-3.1424814478149012
148,-2.901008142221078
149,-3.7203456136963506
150,-6.724903083334283
151,-1.8501338928106432
152,-1.7667737345530812
